loss	acc	f1	prec	recl	time(s)	total time(s)
0	1.0	1.0	1.0	1.0	0.4536409378051758	0.45740842819213867
0.0	1.0	1.0	1.0	1.0	1.796236515045166	1.7998535633087158
0	1.0	1.0	1.0	1.0	0.4534881114959717	0.4567453861236572
0.0	1.0	1.0	1.0	1.0	1.7961883544921875	1.7999286651611328
0	1.0	1.0	1.0	1.0	0.44235801696777344	0.44571614265441895
0.0	0.9	0.9	0.9	0.9	1.1042215824127197	1.1077873706817627
0	1.0	1.0	1.0	1.0	0.4306628704071045	0.43396997451782227
0.0	1.0	1.0	1.0	1.0	0.9127836227416992	0.9159483909606934
0	1.0	1.0	1.0	1.0	0.43828535079956055	0.44138193130493164
0.0	1.0	1.0	1.0	1.0	1.0214018821716309	1.0246491432189941
0	1.0	1.0	1.0	1.0	0.45365118980407715	0.45699310302734375
0.0	1.0	1.0	1.0	1.0	1.5855576992034912	1.5890285968780518
0	1.0	1.0	1.0	1.0	0.43792295455932617	0.4412412643432617
0.0	1.0	1.0	1.0	1.0	1.747058391571045	1.7505075931549072
0	1.0	1.0	1.0	1.0	0.4573202133178711	0.46097493171691895
0.0	1.0	1.0	1.0	1.0	1.1798548698425293	1.1831481456756592
0	1.0	1.0	1.0	1.0	0.4454226493835449	0.44877147674560547
0.0	1.0	1.0	1.0	1.0	0.9732306003570557	0.9842579364776611
