loss	acc	f1	prec	recl	time(s)	total time(s)
0	0.625	0.625	0.625	0.625	0.10149240493774414	0.10363554954528809
0.0	0.5526315789473685	0.5526315789473685	0.5526315789473685	0.5526315789473685	0.9636328220367432	0.966444730758667
0	0.25	0.25	0.25	0.25	0.10239505767822266	0.10463714599609375
0.0	0.4473684210526316	0.4473684210526316	0.4473684210526316	0.4473684210526316	0.9740712642669678	0.976992130279541
0	0.375	0.375	0.375	0.375	0.10429024696350098	0.10704326629638672
0.0	0.34210526315789475	0.34210526315789475	0.34210526315789475	0.34210526315789475	0.9850730895996094	0.9880547523498535
0	0.625	0.625	0.625	0.625	0.10250234603881836	0.10492181777954102
0.0	0.4868421052631579	0.4868421052631579	0.4868421052631579	0.4868421052631579	0.9822125434875488	0.9850368499755859
0	0.25	0.25	0.25	0.25	0.10326147079467773	0.10560989379882812
0.0	0.4473684210526316	0.4473684210526316	0.4473684210526316	0.4473684210526316	0.980435848236084	0.9835841655731201
0	0.375	0.375	0.375	0.375	0.11721158027648926	0.11954665184020996
0.0	0.5394736842105263	0.5394736842105263	0.5394736842105263	0.5394736842105263	1.0988972187042236	1.101778268814087
0	0.625	0.625	0.625	0.625	0.1032099723815918	0.10557436943054199
0.0	0.5657894736842105	0.5657894736842105	0.5657894736842105	0.5657894736842105	0.9887561798095703	0.9915211200714111
0	0.625	0.625	0.625	0.625	0.10267448425292969	0.10499024391174316
0.0	0.5526315789473685	0.5526315789473685	0.5526315789473685	0.5526315789473685	0.9869296550750732	0.9898018836975098
0	0.75	0.75	0.75	0.75	0.10094594955444336	0.10324573516845703
0.0	0.5657894736842105	0.5657894736842105	0.5657894736842105	0.5657894736842105	0.9708430767059326	0.9736592769622803
0	0.25	0.25	0.25	0.25	0.10106420516967773	0.10336184501647949
0.0	0.5263157894736842	0.5263157894736842	0.5263157894736842	0.5263157894736842	0.9834704399108887	0.9862687587738037
0	0.625	0.625	0.625	0.625	0.10183238983154297	0.10418486595153809
0.0	0.6578947368421053	0.6578947368421053	0.6578947368421053	0.6578947368421053	0.9745995998382568	0.9777472019195557
0	0.5	0.5	0.5	0.5	0.10122299194335938	0.10358190536499023
0.0	0.6447368421052632	0.6447368421052632	0.6447368421052632	0.6447368421052632	0.9709784984588623	0.9738743305206299
0	0.625	0.625	0.625	0.625	0.1009819507598877	0.10332727432250977
0.0	0.6710526315789473	0.6710526315789473	0.6710526315789473	0.6710526315789473	0.96933913230896	0.972116231918335
0	0.625	0.625	0.625	0.625	0.10123562812805176	0.1035149097442627
0.0	0.7105263157894737	0.7105263157894737	0.7105263157894737	0.7105263157894737	0.9721724987030029	0.9750094413757324
0	0.75	0.75	0.75	0.75	0.10139131546020508	0.10364222526550293
0.0	0.7105263157894737	0.7105263157894737	0.7105263157894737	0.7105263157894737	0.9731833934783936	0.9759783744812012
0	0.625	0.625	0.625	0.625	0.10424423217773438	0.10661458969116211
0.0	0.7105263157894737	0.7105263157894737	0.7105263157894737	0.7105263157894737	0.9799149036407471	0.9826951026916504
0	0.625	0.625	0.625	0.625	0.10310602188110352	0.10553288459777832
0.0	0.7105263157894737	0.7105263157894737	0.7105263157894737	0.7105263157894737	0.9819602966308594	0.9848363399505615
0	0.625	0.625	0.625	0.625	0.10299968719482422	0.1052544116973877
0.0	0.6842105263157895	0.6842105263157895	0.6842105263157895	0.6842105263157895	0.9840354919433594	0.9869873523712158
0	0.625	0.625	0.625	0.625	0.10268235206604004	0.10488224029541016
0.0	0.7368421052631579	0.7368421052631579	0.7368421052631579	0.7368421052631579	0.9826493263244629	0.985520601272583
0	0.875	0.875	0.875	0.875	0.1025855541229248	0.10491061210632324
0.0	0.7894736842105263	0.7894736842105263	0.7894736842105263	0.7894736842105263	1.0065398216247559	1.0092811584472656
0	0.75	0.75	0.75	0.75	0.10236001014709473	0.10455489158630371
0.0	0.7894736842105263	0.7894736842105263	0.7894736842105263	0.7894736842105263	0.9837281703948975	0.9865691661834717
0	0.75	0.75	0.75	0.75	0.1027071475982666	0.10510897636413574
0.0	0.7894736842105263	0.7894736842105263	0.7894736842105263	0.7894736842105263	0.9843666553497314	0.9871532917022705
0	0.625	0.625	0.625	0.625	0.10315608978271484	0.10558819770812988
0.0	0.7631578947368421	0.7631578947368421	0.7631578947368421	0.7631578947368421	0.9848904609680176	0.9877300262451172
0	0.75	0.75	0.75	0.75	0.10286784172058105	0.10521912574768066
0.0	0.7763157894736842	0.7763157894736842	0.7763157894736842	0.7763157894736842	0.980396032333374	0.9833130836486816
0	0.75	0.75	0.75	0.75	0.10257673263549805	0.10483527183532715
0.0	0.7894736842105263	0.7894736842105263	0.7894736842105263	0.7894736842105263	0.9816179275512695	0.984440803527832
0	0.75	0.75	0.75	0.75	0.10281705856323242	0.10512924194335938
0.0	0.7894736842105263	0.7894736842105263	0.7894736842105263	0.7894736842105263	0.9815425872802734	0.9846322536468506
